tmdbId,title,genres,info,tmdburl,rating_count,rating_avg,poster_path,year,trailer_url
13417,Kronk's New Groove,"Animation, Comedy, Family","Kronk, now chef and Head Delivery Boy of Mudka's Meat Hut, is fretting over the upcoming visit of his father. Kronk's father always disapproved of young Kronk's culinary interests and wished that Kronk instead would settle down with a wife and a large house on a hill.",https://www.themoviedb.org/movie/13417,1251,6.423,https://image.tmdb.org/t/p/original/kyMrt0RPVC8LDpdMrk1DjN6Gqdu.jpg,2005,https://www.youtube.com/watch?v=-n-aCYNr__Y
20910,The Muppets' Wizard of Oz,"Family, Adventure, Comedy, Music, Fantasy, TV Movie","A young woman named Dorothy Gale dreams of becoming a singer but is unable to pursue her dreams. After being swept up by a tornado with her pet prawn Toto, Dorothy embarks on a journey to meet the Wizard of Oz, the person who both Dorothy and the citizens of Oz believe can help make her dream come true.",https://www.themoviedb.org/movie/20910,119,5.244,https://image.tmdb.org/t/p/original/cCx3UbgJauCON5UTJlmWGJ4cn7y.jpg,2005,https://www.youtube.com/watch?v=SSlCCufCjWA
10320,The Ring Two,"Drama, Horror, Thriller","After the ordeal with Samara, Rachel and Aiden move to a rural town. But soon Rachel learns about the death of a girl in a similar fashion. To save Aiden, she must dig into Samara's past even further.",https://www.themoviedb.org/movie/10320,2233,5.732,https://image.tmdb.org/t/p/original/bHbz7z2pecTawhkqLpuC2m0qywe.jpg,2005,https://www.youtube.com/watch?v=apyfeNwsTu4
11683,Land of the Dead,"Horror, Science Fiction","The world is full of zombies and the survivors have barricaded themselves inside a walled city to keep out the living dead. As the wealthy hide out in skyscrapers and chaos rules the streets, the rest of the survivors must find a way to stop the evolving zombies from breaking into the city.",https://www.themoviedb.org/movie/11683,1542,6.179,https://image.tmdb.org/t/p/original/q7tLETjCPu2gNO5vR9esXEd6Mil.jpg,2005,https://www.youtube.com/watch?v=atXJB9luiko
150421,Futari wa Precure Max Heart: The Movie,"Animation, Fantasy, Comedy, Action, Adventure, Family","The Courageous Warriors of the Garden of Hope have summoned Nagisa, Honoka, and Hikari to protect their kingdom from a witch who plans to steal the Diamond Line, which is a set of jewelry the queen of the Garden of Hope wears to a ceremony every year to replenish the water of the kingdom. The witch plans to resurrect the Dark Lord and if she does so, not only will the Garden of Hope be destroyed, but other kingdoms in the galaxies, including the Garden of Rainbows and the Garden of Light.  Source: ANN",https://www.themoviedb.org/movie/150421,22,6.386,https://image.tmdb.org/t/p/original/tXOicosGwKr8MVGIzuAVw5bgspQ.jpg,2005,
10810,Rosario Tijeras,"Crime, Romance, Drama","Rosario Tijeras has been abused by men all her life, initially by her stepfather. Years later, she works as a paid assassin, seducing men and killing them when they least expect it. She meets Emilio, a wealthy womanizer, and his best friend, Antonio, at a nightclub, and starts an affair with Emilio despite Antonio's growing feelings for her. But circumstances bring her closer to Antonio, until her past catches up with her in a devastating way.",https://www.themoviedb.org/movie/10810,89,6.612,https://image.tmdb.org/t/p/original/d8CnXqN257vDOwZyIaA0IM6DcoU.jpg,2005,
9392,The Descent,"Adventure, Horror","After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",https://www.themoviedb.org/movie/9392,3811,6.966,https://image.tmdb.org/t/p/original/mxFPI4KYBk5ri9cPteIS8jiDFgj.jpg,2005,https://www.youtube.com/watch?v=6_AMOs3r4Yo
10040,Miss Congeniality 2: Armed and Fabulous,"Action, Comedy","After her triumph at the Miss United States pageant, FBI agent Gracie Hart becomes an overnight sensation -- and the new ""face of the FBI"". But it's time to spring into action again when the pageant's winner, Cheryl, and emcee, Stan, are abducted.",https://www.themoviedb.org/movie/10040,1804,5.738,https://image.tmdb.org/t/p/original/gcYoIHND3ugn2VH1cNHHNQasEyI.jpg,2005,https://www.youtube.com/watch?v=iv4SzMPlwp4
44729,One Piece: Baron Omatsuri and the Secret Island,"Action, Animation, Comedy","The Straw Hats visit a recreational island, run by Baron Omatsuri, who asks them to complete a series of ordeals if they wish to stay on the island. Luffy accepts and the Straw Hats work together to complete them, but as the island's mysteries unfold, their lives and friendships are put to the test. It's up to Luffy to stop the Baron's plot and keep his crew together.",https://www.themoviedb.org/movie/44729,205,7.3,https://image.tmdb.org/t/p/original/ueIR4LM4k8eKhSB8gGT9NMhCwGW.jpg,2005,https://www.youtube.com/watch?v=xXk1wOxMUAA
41473,Flower & Snake II,"Drama, Thriller, Romance, Horror","The beautiful Shizuko and her husband Toyama Takayoshi have a loving relationship, But Takayoshi is getting older and isn't always able to perform. His primary source of gratification involves observing his wife in sadomasochistic scenarios so he commissions a painter, skilled in the arts of bondage to bring these fantasies to life. Soon, Shiziko becomes a willing and submissive participant in fulfilling the S&M fantasies of not only her husband but a slew of rich lecherous men.",https://www.themoviedb.org/movie/41473,26,6.5,https://image.tmdb.org/t/p/original/oM2n3mFytE8TCLxwbSf7qG3QMFo.jpg,2005,
